SNtype	Galtype	mag_g	bar
Ic        	 Scd      	13.46     	B         
II        	 Sb       	14.67     	B         
II        	 Sc       	13.69     	          
Ia        	 Sb       	13.35     	B         
Ia        	 Sa       	15.73     	          
Ib        	 Sbc      	13.25     	B         
Ia        	 Sab      	14.87     	          
Ic        	 Sc       	14.35     	B         
II        	 Sb       	14.39     	          
Ic        	 Sd       	14.79     	B         
Ic        	 Sab      	14.33     	          
Ia        	 S0/a     	13.36     	          
Ia        	 S0/a     	16.94     	          
II        	 S        	17.15     	          
II        	 Scd      	15.04     	          
II        	 Sb       	14.63     	B         
Ia        	 Sbc      	17.27     	          
II        	 Sb       	14.02     	B         
Ib        	 Sb       	16.43     	B         
Ia        	 S        	18.74     	B         
Ib/c      	 Sbc      	13.31     	B         
II        	 Scd      	14.48     	B         
Ia        	 Sb       	16.13     	          
II        	 Sb       	14.19     	          
II        	 Sc       	15.23     	          
Ia        	 S0       	14.27     	          
II        	 Sd       	13.38     	B         
II        	 Sc       	12.78     	B         
II        	 Im       	18.05     	          
II        	 Sc       	14.31     	          
Ib/c      	 S0/a     	12.25     	          
II        	 Sa       	14.78     	          
II        	 Im       	16.87     	          
Ia        	 S        	18.13     	          
Ia        	 S        	20.39     	          
Ic        	 Sbc      	13.12     	          
II        	 Sbc      	13.83     	          
Ic        	 Sbc      	13.83     	          
Ia        	 Scd      	14.74     	          
II        	 Sbc      	14.86     	          
Ia        	 S        	18.11     	          
Ia        	 S0/a     	14.23     	          
Ia        	 S        	18.74     	          
Ia        	 S        	18.67     	          
Ia        	 S        	19.10     	          
Ia        	 S        	19.10     	          
Ia        	 S        	18.67     	          
Ia        	 S        	18.58     	          
Ia        	 Sc       	14.09     	          
Ia        	 S        	19.25     	          
Ia        	 Sb       	17.52     	B         
Ia        	 S        	19.05     	          
II        	 S        	18.96     	          
II        	 Sb       	14.16     	B         
II        	 Sc       	14.30     	          
II        	 S0/a pec 	13.28     	          
Ia        	 Sab      	15.85     	          
II        	 Sc       	13.61     	B         
Ia        	 Sa       	16.12     	          
