RA	DEC	SNtype	Galtype	mag_g	bar
347.59741  	  7.58989  	   Ia      	 S0        	13.66      	           
 72.15125  	 -6.32278  	   Ia      	 Sc        	12.47      	           
222.24235  	 12.48844  	           	 S0        	14.98      	           
226.76238  	  1.50366  	   IIn L   	 Sb        	11.58      	B          
127.50561  	 52.69250  	   IIn P   	 Sc        	13.97      	B          
184.92113  	  2.07405  	   Ia      	 Sd        	14.69      	B          
190.41246  	 26.07289  	   IIn     	 Sc        	13.61      	           
190.92154  	 16.39581  	   IIb     	 Sc        	11.09      	           
349.76404  	 -8.47712  	   Ia      	 Sc        	11.39      	           
117.85054  	 14.02044  	   Ia      	 Sbc       	13.87      	           
118.79116  	 14.37006  	   Ia      	 Scd       	15.59      	           
111.31001  	 42.01408  	           	 E/S0 pec  	NA         	NA         
327.43771  	 12.21511  	           	 Sc        	16.53      	           
189.43142  	 11.80539  	   II P    	 Sb        	10.42      	B          
  3.16667  	 -0.03167  	           	 S         	17.02      	B          
 29.23163  	 -5.40158  	           	 Sb        	13.42      	B          
179.42812  	 32.28461  	           	 Sm        	12.52      	           
 21.34892  	 -1.38072  	           	 Sab       	16.50      	           
124.35150  	 45.64025  	           	 Sc        	16.21      	           
149.19104  	  6.93958  	           	 E/S0      	16.62      	           
122.11792  	 11.17631  	           	 Sbc       	14.84      	B          
154.77138  	 46.45686  	   Ia      	 Sbc pec   	13.93      	           
114.41247  	 41.94983  	   Ia      	 Sbc       	13.70      	B          
