RA	DEC	SNtype	Galtype	mag_g	bar
193.37008  	  2.17295  	:  I pec   	 Sa        	11.63      	           
217.23486  	 13.85519  	   Ia      	 S0/a pec  	13.83      	           
202.67871  	 31.91648  	   Ia      	 Sd        	16.04      	B          
155.29663  	 35.65837  	   IIn     	 Sc        	16.66      	           
176.02061  	 60.21050  	   Ia      	 Sb        	15.89      	           
196.30994  	 32.00942  	   Ia      	 Sbc       	14.73      	           
211.59119  	 50.72894  	   Ib      	 Sc        	12.50      	           
187.92033  	  3.92269  	   II      	 Sbc       	NA         	           
198.29096  	 57.34422  	:  Ia      	 Sb        	16.25      	B          
227.54627  	  7.63089  	   Ia      	 Sc        	15.60      	           
233.12171  	  1.62425  	   I       	 Sm        	17.98      	           
248.33579  	 34.80574  	   II      	 Sbc       	16.77      	           
207.05887  	 54.79814  	   Ia      	 Sc        	14.77      	           
357.74517  	  8.67468  	   II      	 Sab       	15.32      	B          
NA         	NA         	           	NA         	NA         	NA         
354.82960  	 27.24775  	   Ia      	 S         	15.19      	           
145.65700  	 26.73484  	           	NA         	NA         	NA         
 41.22863  	 -8.40791  	   Ia      	 Sb        	16.35      	           
162.95875  	 16.00013  	   IIn     	 Sdm       	15.58      	B          
171.99592  	 29.50595  	   Ia      	 Sc        	12.83      	B          
 19.80158  	 13.26968  	:          	NA         	NA         	NA         
 36.30566  	 45.44972  	           	 Scd       	15.63      	           
201.41233  	 32.58103  	           	 Sab       	15.50      	B          
171.38108  	 38.06211  	           	 Im        	14.43      	           
170.05796  	 13.00533  	   Ia      	 Sb        	NA         	B          
146.93954  	  2.62675  	   II P    	 Sd        	14.51      	B          
204.41058  	 28.80268  	   Ib      	 Sd        	15.76      	B          
194.59688  	  2.79869  	   II      	 Sdm       	14.22      	B          
168.46232  	  9.58131  	   I       	 S0/a pec  	13.95      	           
204.67469  	 32.30400  	           	 Sc        	15.19      	B          
219.15996  	 14.66908  	:          	 Sb        	16.26      	           
205.24183  	 32.47818  	           	 S0        	16.42      	           
209.25383  	 29.16674  	   II      	 Sbc       	12.36      	B          
339.45725  	 23.78686  	   II P    	 Sbc       	12.97      	           
189.41967  	 11.82388  	   Ia      	 Sb        	10.42      	B          
170.42208  	 20.15829  	:  II      	 Sc        	11.54      	           
  5.27563  	 34.51781  	   II pec  	 Sbc       	14.87      	           
 26.39392  	 22.08807  	   Ia      	 S pec     	17.49      	           
 26.76154  	  1.99129  	           	NA         	NA         	NA         
148.21908  	 42.86206  	   II      	 Sbc       	13.52      	B          
 22.99196  	 12.19833  	   Ia      	 S0/a      	17.53      	           
206.24428  	 29.77064  	           	 S0        	16.42      	           
 20.66658  	  5.38915  	           	 E/S0      	14.69      	           
 13.24690  	 29.03025  	   Ic      	 Sc        	13.93      	           
340.66192  	  1.30224  	   II      	 Sb        	17.02      	B          
  5.71292  	  6.81806  	:  II      	 Sbc       	15.14      	           
113.20563  	 32.90421  	   II pec  	 Sc        	15.25      	           
  6.54325  	 13.65574  	   II      	 Sc        	14.71      	B          
189.14096  	 11.24162  	   Ic      	 Sc        	11.22      	           
205.85650  	 29.11081  	:          	 S0        	17.74      	           
 39.87053  	 -8.13625  	   II P    	 Sc        	12.50      	           
204.76133  	 32.15576  	   Ia      	 Sd        	15.79      	B          
170.25496  	 34.34767  	   Ia      	 Sab       	14.76      	           
159.06283  	 37.32422  	   II      	 Sc        	11.64      	           
184.08542  	 12.53006  	   Ia      	 Sab       	16.29      	B          
234.12120  	 22.49992  	   Ia      	 S0/a      	14.23      	B          
190.73625  	 13.25658  	   Ia      	 Sbc       	11.72      	B          
346.22883  	 12.30558  	:  Ic      	 Sc        	11.21      	B          
348.91311  	  7.30714  	   II      	 Sbc       	15.13      	           
350.68350  	 23.20558  	   II      	 Sbc       	15.05      	           
339.87646  	  8.60447  	   II      	 Scd       	15.44      	           
178.46998  	 33.36336  	   Ic      	 Sd        	14.07      	B          
191.29083  	 -6.31731  	   Ia      	 Sd        	14.68      	B          
209.84013  	 19.68507  	   Ia      	 Sc        	16.36      	           
195.32996  	 29.18323  	           	 Sb        	16.90      	           
244.85083  	 17.64611  	:  Ia      	 Sbc pec   	16.37      	           
261.78201  	 29.47231  	   Ia      	 Sbc       	15.47      	           
216.97996  	 16.20569  	   Ia      	 S0/a      	15.13      	           
247.43708  	 41.77861  	   Ia      	 Sd        	15.21      	B          
209.20258  	 37.79214  	   Ia      	 Sb        	13.01      	B          
250.46129  	 37.73637  	   Ia      	 Sb        	15.70      	           
264.78975  	 67.70802  	           	NA         	NA         	NA         
  6.98496  	 32.77829  	:  II      	 Sc        	16.49      	           
 10.98617  	  1.85376  	   Ib      	 Sc        	13.99      	           
342.17036  	  8.17558  	   Ia      	 S         	16.21      	           
 17.66830  	 16.60681  	   Ia      	 Sbc       	15.10      	B          
329.00725  	  0.99841  	:  IIn     	 Sc        	17.05      	           
265.55646  	 67.48667  	           	 Sb        	14.48      	           
 11.82904  	 40.54110  	   Ia      	 Sb        	15.97      	           
 36.31496  	 24.26386  	   II      	 Sb        	15.17      	           
 50.19025  	 -1.04644  	   Ia      	 Sa        	14.42      	           
186.26529  	 12.87098  	   Ia pec  	 E         	NA         	NA         
200.93304  	 31.56408  	   Ia      	 E         	12.91      	           
182.67546  	 13.32928  	           	 Sb        	14.67      	B          
173.16930  	  5.34200  	   II      	 Sc        	16.69      	           
164.00921  	 57.11336  	:  Ia pec  	 S0/a      	12.97      	           
181.37021  	 50.53658  	   II P    	 Sbc       	11.00      	           
198.15656  	 12.58425  	   II      	 Sbc       	12.32      	B          
250.31233  	 39.29234  	   Ib/c    	 Sdm       	14.91      	           
239.64488  	 17.45793  	   Ia      	 Sc        	13.49      	B          
159.69321  	 53.50132  	   Ib/c    	 Sbc pec   	10.87      	           
195.53163  	 27.64882  	           	 Sbc       	14.98      	B          
238.72279  	 19.01213  	   Ib/c    	 Sc        	16.27      	           
157.36579  	 22.01289  	   Ia      	 Sbc       	15.09      	           
188.54238  	  2.66565  	   Ia pec  	 Sbc       	11.08      	           
221.96150  	 31.76106  	           	 S0/a      	15.26      	           
258.65683  	 57.30736  	           	 S0        	15.30      	           
266.44667  	 60.89413  	   IIn     	 Sc        	14.86      	B          
186.70663  	  8.87727  	   II      	 Scd       	12.61      	           
 21.26270  	 -4.65014  	   II P    	 Sb        	14.95      	B          
247.61443  	 41.48839  	   Ia      	 Sbc       	14.53      	B          
265.76979  	 67.81862  	   Ia      	 Sab       	17.80      	           
169.04138  	 55.49171  	   Ia      	 Sb        	17.02      	           
319.56192  	 -7.58431  	   Ia      	 Sab       	15.53      	           
 36.98066  	 20.32947  	   I       	 Sa        	12.81      	           
242.55329  	 39.78681  	   Ia      	NA         	NA         	NA         
350.46192  	 25.15933  	   II      	 Sbc       	16.44      	           
 22.24258  	  9.14842  	           	 Sbc       	17.52      	B          
174.83233  	 56.27108  	   II P    	 Sc        	12.00      	           
172.13083  	 58.56056  	           	 S         	NA         	           
161.65335  	 13.74308  	   II      	 Sc        	11.80      	B          
171.34950  	 56.60069  	           	 Sb        	16.01      	B          
159.07729  	 37.32111  	   Ia      	 Sc        	11.64      	           
209.09278  	 47.24097  	   II      	 Sab       	11.88      	B          
124.94288  	 22.03326  	   II      	 Sbc       	12.80      	           
190.70396  	 10.36042  	   Ia      	 Sb        	15.32      	B          
182.75675  	 -1.88072  	:          	 S0/a      	15.42      	B          
214.42692  	 31.05000  	           	 Sc        	16.12      	           
188.69125  	 14.55962  	   Ia      	 Sb        	16.64      	B          
166.82986  	 28.52608  	           	 Sa        	14.36      	B          
345.84175  	 -6.34891  	   Ia      	 S         	16.89      	           
 45.50594  	 42.58158  	   Ia      	 Sab       	13.56      	B          
 86.59825  	 63.36864  	   Ia      	 E/S0      	15.21      	           
353.67050  	 -3.15916  	   II      	 Sc        	14.20      	           
 22.45367  	 -1.97698  	   Ia      	 E         	14.58      	           
181.08813  	 -0.72053  	   Ia      	 S0/a      	17.05      	           
205.79550  	 30.33677  	           	 Sbc       	14.07      	B          
185.55258  	 -1.14014  	   Ia      	NA         	NA         	NA         
145.09913  	 14.93646  	   Ia      	 E         	12.93      	           
145.93396  	 49.29886  	   II      	 S         	16.62      	           
119.34008  	 20.08313  	           	 S         	18.17      	           
172.13904  	 58.55860  	   II      	 S         	NA         	           
188.67792  	  9.00219  	   Ia      	 Sa        	15.25      	           
148.85396  	 69.02038  	   IIb     	 Sb        	NA         	NA         
157.44298  	 13.02089  	   IIn     	 Scd       	14.91      	           
356.06789  	 10.76847  	   I pec   	 Sab       	12.00      	           
352.41675  	 -3.04046  	   II      	 Sd        	15.94      	B          
 52.85167  	 39.75080  	:  Ia      	 S0        	14.30      	           
137.58158  	  7.02781  	   Ia      	 Sa        	NA         	NA         
196.90579  	 62.21306  	   II      	 Sb        	14.11      	B          
357.47304  	  2.70289  	   II      	 Scd       	15.69      	           
161.75800  	 17.27518  	   Ia      	 Sc        	NA         	NA         
138.50613  	 40.10597  	   IIn     	 Sb pec    	12.32      	           
 40.00858  	 -1.62081  	   Ia      	NA         	NA         	NA         
341.07863  	  0.11353  	   Ia      	NA         	NA         	NA         
241.09708  	 43.06556  	           	NA         	NA         	NA         
125.17042  	 15.73007  	   Ia      	 Sb        	16.75      	B          
119.16779  	 44.87203  	   Ia      	 Sb        	15.52      	B          
188.50988  	  7.70131  	   Ia      	 S0/a      	NA         	NA         
173.02900  	 55.35964  	   Ia      	 S         	17.57      	           
177.49804  	 10.71606  	   Ia      	NA         	NA         	NA         
154.86117  	 50.87206  	   Ia      	NA         	NA         	NA         
 40.01958  	 -1.56844  	   Ia      	NA         	NA         	NA         
202.47529  	 47.19181  	   Ic      	 Sbc       	NA         	           
150.40317  	 54.58236  	   Ia      	 S         	17.09      	           
150.10254  	 12.87544  	   Ia      	 Sbc       	15.01      	B          
187.78588  	  0.60553  	   Ia      	 E         	13.78      	           
157.44543  	 13.02089  	   II      	 Scd       	14.91      	           
